"x_coord","y_coord","z_coord","addr_state","loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","loan_status","purpose","dti","open_acc","pub_rec","total_acc","test","cluster","cluster_default_rate"
12.6936239907128,-17.0468265689791,0.430984957607505,"FL",8975," 36 months",12.12,298.62,"B","RENT",0.6403204,"Not Verified","Defaulted","credit_card",12.54,8,0,12,TRUE,1,0
-21.9994826189562,-4.28753734039857,-14.5882512521863,"IL",22600," 60 months",23.83,647.93,"F","RENT",0.6811816,"Verified","Defaulted","Others",20.61,11,0,29,TRUE,15,0
-1.88713233178431,37.7411912642095,1.23705746525148,"NC",18000," 60 months",24.99,528.22,"F","MORTGAGE",0.6629523,"Not Verified","Defaulted","debt_consolidation",19.74,7,0,15,TRUE,30,0
23.1108444412428,-24.3552766853478,-8.8310821640688,"TX",8000," 36 months",12.49,267.6,"B","RENT",0.6586125,"Not Verified","Defaulted","debt_consolidation",28.77,9,0,19,TRUE,4,0
-20.8181915794454,-4.1145073391823,-13.805524646494,"CA",10000," 60 months",17.14,249.28,"D","RENT",0.6814302,"Verified","Defaulted","Others",32.29,19,1,39,FALSE,15,0
-23.468774520748,21.3552390994153,-14.5722355529079,"TX",16000," 60 months",16.29,391.56,"D","MORTGAGE",0.6727968,"Verified","Defaulted","debt_consolidation",28.43,14,0,25,FALSE,20,0.00268817204301075
21.7777195128003,0.00807384164779167,7.58187149344017,"VA",6000," 36 months",11.99,199.26,"B","MORTGAGE",0.6934645,"Not Verified","Defaulted","credit_card",15.51,13,1,26,TRUE,10,0
-8.17259935946356,-22.7753752740815,16.8296202424438,"NY",16000," 36 months",14.09,547.55,"B","RENT",0.7285309,"Source Verified","Defaulted","debt_consolidation",9.09,14,0,26,FALSE,36,0.0192307692307692
6.73239083452189,0.924056334637551,-19.4535080090176,"NV",10000," 36 months",7.49,311.02,"A","OWN",0.6785959,"Verified","Defaulted","major_purchase",9.82,4,0,16,FALSE,51,0.00806451612903226
-12.2011766486589,-21.5629387525034,2.17472257551585,"CA",6400," 36 months",16.4,226.28,"E","RENT",0.6879801,"Source Verified","Defaulted","credit_card",6.53,5,0,6,FALSE,41,0.0238095238095238
-20.294940630296,-15.6594785791578,15.2358754555537,"CA",12575," 36 months",13.33,425.71,"C","RENT",0.7081548,"Source Verified","Defaulted","debt_consolidation",8.74,7,1,15,FALSE,39,0.00869565217391304
-9.68216074311447,-20.1586731956814,1.69694300183635,"CA",20000," 36 months",13.98,683.36,"C","RENT",0.6750809,"Source Verified","Defaulted","credit_card",26.85,15,0,21,FALSE,41,0.0238095238095238
-6.50689188080546,-9.65787899768026,-29.4852067637907,"NY",3000," 36 months",17.27,107.37,"C","RENT",0.6449281,"Verified","Defaulted","debt_consolidation",9.55,14,2,22,FALSE,54,0.00342465753424658
1.12850327024596,2.23739647295409,15.7421764769774,"IL",12000," 36 months",14.16,411.07,"C","MORTGAGE",0.682408,"Source Verified","Defaulted","credit_card",21.49,14,0,24,FALSE,50,0.00561797752808989
14.9167891569051,-30.5455704975543,-8.97869030155713,"OK",10000," 36 months",17.58,359.43,"D","RENT",0.6720027,"Not Verified","Defaulted","debt_consolidation",4.34,2,0,3,TRUE,4,0
15.0035865276552,17.7699020556114,-20.0517910656871,"MI",24375," 36 months",14.33,837,"C","MORTGAGE",0.6758116,"Verified","Defaulted","debt_consolidation",21.45,8,0,25,TRUE,58,0
17.1539568213981,15.0516946686236,-23.2263551972726,"NY",10000," 36 months",16.99,356.48,"D","MORTGAGE",0.6874604,"Verified","Defaulted","debt_consolidation",18.34,15,0,35,FALSE,58,0
-32.6040268474247,1.15192942592643,-0.382866811011076,"WI",23275," 60 months",22.15,644.82,"E","RENT",0.6743352,"Source Verified","Defaulted","debt_consolidation",21.4,5,0,26,FALSE,25,0.00480769230769231
-26.012876378957,21.0149304576818,8.76150575877402,"IL",15725," 60 months",21.99,434.22,"E","MORTGAGE",0.6853026,"Source Verified","Defaulted","debt_consolidation",21.98,9,0,12,TRUE,32,0
-1.84896520621591,-11.5119052908665,-31.4739683374082,"OK",4500," 36 months",11.53,148.46,"B","RENT",0.62077,"Verified","Defaulted","debt_consolidation",8.8,10,1,13,FALSE,54,0.00342465753424658
2.91997651289063,-33.0463856417775,-2.25553344371291,"VA",5000," 36 months",13.11,168.74,"B","RENT",0.6735741,"Not Verified","Defaulted","Others",17.7,9,0,22,FALSE,7,0.0102040816326531
-3.56000826295569,-9.98133096274665,-11.805986416104,"CO",7000," 36 months",15.31,243.73,"C","RENT",0.6537093,"Verified","Defaulted","credit_card",15.64,11,0,40,FALSE,52,0.00757575757575758
-8.24850913452577,-22.8475484633801,17.0718604834709,"NY",18000," 36 months",10.65,586.32,"B","RENT",0.691652,"Source Verified","Defaulted","debt_consolidation",8.1,13,0,17,FALSE,36,0.0192307692307692
-21.8667879337226,-4.17034634479577,-14.2586736145063,"CA",21425," 60 months",23.28,607.44,"F","RENT",0.6863978,"Verified","Defaulted","Others",22.22,8,0,14,FALSE,15,0
14.8763154668012,-23.3139866547008,-4.97043868523286,"FL",4000," 36 months",14.27,137.24,"C","RENT",0.6414951,"Not Verified","Defaulted","small_business",18.7,5,0,7,FALSE,3,0.0181818181818182
36.399111451465,12.0834537639277,0.983356235886486,"IL",8875," 36 months",15.61,310.32,"D","MORTGAGE",0.6537093,"Not Verified","Defaulted","debt_consolidation",9.49,21,0,41,FALSE,11,0.00263852242744063
7.17150554875511,3.02196727094268,-22.7072744762102,"AL",20500," 36 months",11.99,680.8,"B","OWN",0.671232,"Verified","Defaulted","debt_consolidation",20.13,13,0,35,FALSE,51,0.00806451612903226
-9.85496443304456,7.38969296811137,-14.4019536636872,"IL",11000," 60 months",16.99,273.32,"D","OWN",0.6574448,"Verified","Defaulted","credit_card",27.67,8,1,19,TRUE,18,0
23.1083980060534,-24.2157077525389,-8.93599808241581,"TX",6625," 36 months",14.09,226.72,"B","RENT",0.6574448,"Not Verified","Defaulted","debt_consolidation",21.12,12,0,31,FALSE,4,0
-17.4331204697779,-17.3212363572907,24.2377526220396,"GA",10000," 36 months",15.31,348.18,"C","RENT",0.6553482,"Source Verified","Defaulted","debt_consolidation",17.27,12,0,20,FALSE,37,0.00305810397553517
-34.3155475049194,1.01815343624997,-0.0288592809483136,"MD",15000," 60 months",17.57,377.41,"D","RENT",0.6634611,"Source Verified","Defaulted","debt_consolidation",33.42,11,0,19,FALSE,25,0.00480769230769231
-16.8045679751051,-22.6590875580879,7.44786405795633,"NJ",7125," 36 months",22.47,273.85,"E","RENT",0.6686429,"Source Verified","Defaulted","small_business",4.57,6,0,6,FALSE,38,0.111111111111111
37.8724065568708,6.53593424454288,-2.47761221980714,"MI",12250," 36 months",13.68,416.78,"C","MORTGAGE",0.6574448,"Not Verified","Defaulted","debt_consolidation",13.27,11,0,23,FALSE,11,0.00263852242744063
-0.452770755131639,-8.78285326102121,-10.4820821352847,"CA",7200," 36 months",6.49,220.65,"A","RENT",0.6695119,"Verified","Defaulted","credit_card",3.04,6,1,9,FALSE,52,0.00757575757575758
-22.6284417324671,16.0491475224474,-18.4098470410806,"RI",35000," 60 months",19.99,927.1,"E","MORTGAGE",0.6949773,"Verified","Defaulted","debt_consolidation",21.33,22,0,52,FALSE,20,0.00268817204301075
